index	id	title	filename	width	height	capture_status	missing_glyphs
1	home	首页	01_home.bmp	480	800	ok	0
2	pi_connect_wallet	连接钱包	02_pi_connect_wallet.bmp	480	800	ok	0
3	connect_okx	OKX	03_connect_okx.bmp	480	800	ok	0
4	connect_bitget	Bitget	04_connect_bitget.bmp	480	800	ok	0
5	connect_metamask	MetaMask	05_connect_metamask.bmp	480	800	ok	0
6	connect_rabby	Rabby	06_connect_rabby.bmp	480	800	ok	0
7	connect_tokenpocket	TokenPocket	07_connect_tokenpocket.bmp	480	800	ok	0
8	web3_okx_mnemonic	助记词	08_web3_okx_mnemonic.bmp	480	800	ok	0
9	web3_okx_satochip	智能卡	09_web3_okx_satochip.bmp	480	800	ok	0
10	web3_bitget_mnemonic	助记词	10_web3_bitget_mnemonic.bmp	480	800	ok	0
11	web3_bitget_satochip	智能卡	11_web3_bitget_satochip.bmp	480	800	ok	0
12	web3_metamask_mnemonic	助记词	12_web3_metamask_mnemonic.bmp	480	800	ok	0
13	web3_metamask_satochip	智能卡	13_web3_metamask_satochip.bmp	480	800	ok	0
14	web3_rabby_mnemonic	助记词	14_web3_rabby_mnemonic.bmp	480	800	ok	0
15	web3_rabby_satochip	智能卡	15_web3_rabby_satochip.bmp	480	800	ok	0
16	web3_tokenpocket_mnemonic	助记词	16_web3_tokenpocket_mnemonic.bmp	480	800	ok	0
17	web3_tokenpocket_satochip	智能卡	17_web3_tokenpocket_satochip.bmp	480	800	ok	0
18	btc_wallet	BTC	18_btc_wallet.bmp	480	800	ok	0
19	btc_mnemonic	助记词	19_btc_mnemonic.bmp	480	800	ok	0
20	btc_satochip	智能卡	20_btc_satochip.bmp	480	800	ok	0
21	btc_bluewallet_zpub	zpub	21_btc_bluewallet_zpub.bmp	480	800	ok	0
22	btc_bluewallet_xpub	xpub	22_btc_bluewallet_xpub.bmp	480	800	ok	0
23	btc_satochip_zpub	zpub	23_btc_satochip_zpub.bmp	480	800	ok	0
24	btc_satochip_xpub	xpub	24_btc_satochip_xpub.bmp	480	800	ok	0
25	custom_derivation	派生地址	25_custom_derivation.bmp	480	800	ok	0
26	pi_mnemonic_tools	助记词	26_pi_mnemonic_tools.bmp	480	800	ok	0
27	mnemonic_write_smartcard	写卡	27_mnemonic_write_smartcard.bmp	480	800	ok	0
28	smartcard_tools	智能卡	28_smartcard_tools.bmp	480	800	ok	0
29	smartcard_satochip_tools	Satochip	29_smartcard_satochip_tools.bmp	480	800	ok	0
30	smartcard_satochip_write_mnemonic	写入	30_smartcard_satochip_write_mnemonic.bmp	480	800	ok	0
31	smartcard_satochip_maint	维护	31_smartcard_satochip_maint.bmp	480	800	ok	0
32	smartcard_satochip_advanced_tools	高级	32_smartcard_satochip_advanced_tools.bmp	480	800	ok	0
33	smartcard_satochip_pubkey_tools	认证钥	33_smartcard_satochip_pubkey_tools.bmp	480	800	ok	0
34	smartcard_satochip_2fa_tools	2FA	34_smartcard_satochip_2fa_tools.bmp	480	800	ok	0
35	smartcard_satochip_session_tools	会话	35_smartcard_satochip_session_tools.bmp	480	800	ok	0
36	smartcard_satochip_seedkeeper_tools	SeedKeeper	36_smartcard_satochip_seedkeeper_tools.bmp	480	800	ok	0
37	smartcard_satochip_certificate_tools	证书	37_smartcard_satochip_certificate_tools.bmp	480	800	ok	0
38	smartcard_satochip_change_pin	改 PIN	38_smartcard_satochip_change_pin.bmp	480	800	ok	0
39	smartcard_satochip_unblock_pin	解锁	39_smartcard_satochip_unblock_pin.bmp	480	800	ok	0
40	smartcard_satochip_set_label	改标签	40_smartcard_satochip_set_label.bmp	480	800	ok	0
41	smartcard_satochip_nfc_policy	NFC	41_smartcard_satochip_nfc_policy.bmp	480	800	ok	0
42	smartcard_satochip_feature_policy	功能	42_smartcard_satochip_feature_policy.bmp	480	800	ok	0
43	smartcard_satochip_reset_seed	重置	43_smartcard_satochip_reset_seed.bmp	480	800	ok	0
44	smartcard_satochip_reset_factory	出厂	44_smartcard_satochip_reset_factory.bmp	480	800	ok	0
45	smartcard_satochip_authenticity	真伪	45_smartcard_satochip_authenticity.bmp	480	800	ok	0
46	smartcard_satochip_setup_pin	设置PIN	46_smartcard_satochip_setup_pin.bmp	480	800	ok	0
47	smartcard_satochip_export_authentikey	导主钥	47_smartcard_satochip_export_authentikey.bmp	480	800	ok	0
48	smartcard_satochip_import_ndef_authentikey	写NDEF	48_smartcard_satochip_import_ndef_authentikey.bmp	480	800	ok	0
49	smartcard_satochip_import_trusted_pubkey	写信任钥	49_smartcard_satochip_import_trusted_pubkey.bmp	480	800	ok	0
50	smartcard_satochip_export_trusted_pubkey	导信任钥	50_smartcard_satochip_export_trusted_pubkey.bmp	480	800	ok	0
51	smartcard_satochip_set_2fa_key	设2FA	51_smartcard_satochip_set_2fa_key.bmp	480	800	ok	0
52	smartcard_satochip_reset_2fa_key	清2FA	52_smartcard_satochip_reset_2fa_key.bmp	480	800	ok	0
53	smartcard_satochip_logout_all	登出	53_smartcard_satochip_logout_all.bmp	480	800	ok	0
54	smartcard_seedkeeper_status_page	状态	54_smartcard_seedkeeper_status_page.bmp	480	800	ok	0
55	smartcard_seedkeeper_free_space	剩余空间	55_smartcard_seedkeeper_free_space.bmp	480	800	ok	0
56	smartcard_seedkeeper_list_page	列表	56_smartcard_seedkeeper_list_page.bmp	480	800	ok	0
57	smartcard_seedkeeper_advanced_tools	高级	57_smartcard_seedkeeper_advanced_tools.bmp	480	800	ok	0
58	smartcard_seedkeeper_setup_pin	设置PIN	58_smartcard_seedkeeper_setup_pin.bmp	480	800	ok	0
59	smartcard_seedkeeper_create_mnemonic	创建	59_smartcard_seedkeeper_create_mnemonic.bmp	480	800	ok	0
60	smartcard_seedkeeper_write_mnemonic	写入	60_smartcard_seedkeeper_write_mnemonic.bmp	480	800	ok	0
