index	id	title	top_png	bottom_png
45	smartcard_satochip_reset_factory	出厂	v20260521_124238_045_smartcard_satochip_reset_factory_top.png	v20260521_124238_045_smartcard_satochip_reset_factory_bottom.png
46	smartcard_satochip_authenticity	真伪	v20260521_124238_046_smartcard_satochip_authenticity_top.png	v20260521_124238_046_smartcard_satochip_authenticity_bottom.png
47	smartcard_satochip_export_authentikey	导主钥	v20260521_124238_047_smartcard_satochip_export_authentikey_top.png	v20260521_124238_047_smartcard_satochip_export_authentikey_bottom.png
48	smartcard_satochip_import_ndef_authentikey	写NDEF	v20260521_124238_048_smartcard_satochip_import_ndef_authentikey_top.png	v20260521_124238_048_smartcard_satochip_import_ndef_authentikey_bottom.png
49	smartcard_satochip_import_trusted_pubkey	写信任钥	v20260521_124238_049_smartcard_satochip_import_trusted_pubkey_top.png	v20260521_124238_049_smartcard_satochip_import_trusted_pubkey_bottom.png
50	smartcard_satochip_export_trusted_pubkey	导信任钥	v20260521_124238_050_smartcard_satochip_export_trusted_pubkey_top.png	v20260521_124238_050_smartcard_satochip_export_trusted_pubkey_bottom.png
51	smartcard_satochip_set_2fa_key	设2FA	v20260521_124238_051_smartcard_satochip_set_2fa_key_top.png	v20260521_124238_051_smartcard_satochip_set_2fa_key_bottom.png
52	smartcard_satochip_reset_2fa_key	清2FA	v20260521_124238_052_smartcard_satochip_reset_2fa_key_top.png	v20260521_124238_052_smartcard_satochip_reset_2fa_key_bottom.png
53	smartcard_satochip_logout_all	登出	v20260521_124238_053_smartcard_satochip_logout_all_top.png	v20260521_124238_053_smartcard_satochip_logout_all_bottom.png
54	smartcard_seedkeeper_status_page	状态	v20260521_124238_054_smartcard_seedkeeper_status_page_top.png	v20260521_124238_054_smartcard_seedkeeper_status_page_bottom.png
55	smartcard_seedkeeper_free_space	剩余空间	v20260521_124238_055_smartcard_seedkeeper_free_space_top.png	v20260521_124238_055_smartcard_seedkeeper_free_space_bottom.png
56	smartcard_seedkeeper_list_page	列表	v20260521_124238_056_smartcard_seedkeeper_list_page_top.png	v20260521_124238_056_smartcard_seedkeeper_list_page_bottom.png
57	smartcard_seedkeeper_logs_page	记录	v20260521_124238_057_smartcard_seedkeeper_logs_page_top.png	v20260521_124238_057_smartcard_seedkeeper_logs_page_bottom.png
58	smartcard_seedkeeper_advanced_tools	高级	v20260521_124238_058_smartcard_seedkeeper_advanced_tools_top.png	v20260521_124238_058_smartcard_seedkeeper_advanced_tools_bottom.png
59	smartcard_seedkeeper_create_mnemonic	创建	v20260521_124238_059_smartcard_seedkeeper_create_mnemonic_top.png	v20260521_124238_059_smartcard_seedkeeper_create_mnemonic_bottom.png
60	smartcard_seedkeeper_write_mnemonic	写入	v20260521_124238_060_smartcard_seedkeeper_write_mnemonic_top.png	v20260521_124238_060_smartcard_seedkeeper_write_mnemonic_bottom.png
61	smartcard_seedkeeper_view_mnemonic	查看	v20260521_124238_061_smartcard_seedkeeper_view_mnemonic_top.png	v20260521_124238_061_smartcard_seedkeeper_view_mnemonic_bottom.png
62	smartcard_seedkeeper_load_mnemonic	导入	v20260521_124238_062_smartcard_seedkeeper_load_mnemonic_top.png	v20260521_124238_062_smartcard_seedkeeper_load_mnemonic_bottom.png
63	smartcard_seedkeeper_save_password	存密码	v20260521_124238_063_smartcard_seedkeeper_save_password_top.png	v20260521_124238_063_smartcard_seedkeeper_save_password_bottom.png
64	smartcard_seedkeeper_load_descriptor	读描述符	v20260521_124238_064_smartcard_seedkeeper_load_descriptor_top.png	v20260521_124238_064_smartcard_seedkeeper_load_descriptor_bottom.png
65	smartcard_seedkeeper_save_descriptor	存描述符	v20260521_124238_065_smartcard_seedkeeper_save_descriptor_top.png	v20260521_124238_065_smartcard_seedkeeper_save_descriptor_bottom.png
66	smartcard_seedkeeper_clone	克隆	v20260521_124238_066_smartcard_seedkeeper_clone_top.png	v20260521_124238_066_smartcard_seedkeeper_clone_bottom.png
67	smartcard_seedkeeper_change_pin	改PIN	v20260521_124238_067_smartcard_seedkeeper_change_pin_top.png	v20260521_124238_067_smartcard_seedkeeper_change_pin_bottom.png
68	smartcard_seedkeeper_reset	重置	v20260521_124238_068_smartcard_seedkeeper_reset_top.png	v20260521_124238_068_smartcard_seedkeeper_reset_bottom.png
69	smartcard_seedkeeper_generate_masterseed	主种子	v20260521_124238_069_smartcard_seedkeeper_generate_masterseed_top.png	v20260521_124238_069_smartcard_seedkeeper_generate_masterseed_bottom.png
70	smartcard_seedkeeper_generate_2fa_secret	2FA	v20260521_124238_070_smartcard_seedkeeper_generate_2fa_secret_top.png	v20260521_124238_070_smartcard_seedkeeper_generate_2fa_secret_bottom.png
71	smartcard_seedkeeper_derive_master_password	派生密码	v20260521_124238_071_smartcard_seedkeeper_derive_master_password_top.png	v20260521_124238_071_smartcard_seedkeeper_derive_master_password_bottom.png
72	smartcard_seedkeeper_reset_secret	重置条目	v20260521_124238_072_smartcard_seedkeeper_reset_secret_top.png	v20260521_124238_072_smartcard_seedkeeper_reset_secret_bottom.png
73	new_seedkeeper_create_mnemonic	智能卡	v20260521_124238_073_new_seedkeeper_create_mnemonic_top.png	v20260521_124238_073_new_seedkeeper_create_mnemonic_bottom.png
74	load_seedkeeper_mnemonic	智能卡	v20260521_124238_074_load_seedkeeper_mnemonic_top.png	v20260521_124238_074_load_seedkeeper_mnemonic_bottom.png
75	smartcard_certificate_export	导出	v20260521_124238_075_smartcard_certificate_export_top.png	v20260521_124238_075_smartcard_certificate_export_bottom.png
76	smartcard_certificate_import	导入	v20260521_124238_076_smartcard_certificate_import_top.png	v20260521_124238_076_smartcard_certificate_import_bottom.png
77	satochip_btc_pubkeys	BTC公钥	v20260521_124238_077_satochip_btc_pubkeys_top.png	v20260521_124238_077_satochip_btc_pubkeys_bottom.png
78	satochip_btc_ypub	ypub	v20260521_124238_078_satochip_btc_ypub_top.png	v20260521_124238_078_satochip_btc_ypub_bottom.png
79	satochip_btc_tpub	tpub	v20260521_124238_079_satochip_btc_tpub_top.png	v20260521_124238_079_satochip_btc_tpub_bottom.png
80	satochip_btc_upub	upub	v20260521_124238_080_satochip_btc_upub_top.png	v20260521_124238_080_satochip_btc_upub_bottom.png
81	satochip_btc_vpub	vpub	v20260521_124238_081_satochip_btc_vpub_top.png	v20260521_124238_081_satochip_btc_vpub_bottom.png
82	pi_self_check	自检	v20260521_124238_082_pi_self_check_top.png	v20260521_124238_082_pi_self_check_bottom.png
83	tools	工具	v20260521_124238_083_tools_top.png	v20260521_124238_083_tools_bottom.png
84	pi_features	功能总览	v20260521_124238_084_pi_features_top.png	v20260521_124238_084_pi_features_bottom.png
85	settings	设置	v20260521_124238_085_settings_top.png	v20260521_124238_085_settings_bottom.png
86	about	关于	v20260521_124238_086_about_top.png	v20260521_124238_086_about_bottom.png
87	boot_login	启动与登录	v20260521_124238_087_boot_login_top.png	v20260521_124238_087_boot_login_bottom.png
88	login_pin	PIN 解锁	v20260521_124238_088_login_pin_top.png	v20260521_124238_088_login_pin_bottom.png
89	login_passphrase	密码短语	v20260521_124238_089_login_passphrase_top.png	v20260521_124238_089_login_passphrase_bottom.png
90	login_encrypted_backup	加密备份解锁	v20260521_124238_090_login_encrypted_backup_top.png	v20260521_124238_090_login_encrypted_backup_bottom.png
91	login_clear_session	清除会话	v20260521_124238_091_login_clear_session_top.png	v20260521_124238_091_login_clear_session_bottom.png
92	load_mnemonic	加载	v20260521_124238_092_load_mnemonic_top.png	v20260521_124238_092_load_mnemonic_bottom.png
